,code
0,21.0
1,78.0
2,120.0
3,89.0
4,56.0
5,76.0
6,88.0
7,72.0
8,127.0
9,258.0
10,333.0
11,345.0
12,377.0
13,409.0
14,368.0
15,351.0
16,436.0
17,513.0
18,591.0
19,747.0
20,892.0
21,918.0
22,923.0
23,989.0
24,976.0
25,837.0
26,765.0
27,840.0
28,977.0
29,1104.0
30,1249.0
31,1478.0
32,1682.0
33,1697.0
34,1651.0
35,1707.0
36,1711.0
37,1528.0
38,1362.0
39,1393.0
40,1447.0
41,1420.0
42,1504.0
43,1709.0
44,1821.0
45,1815.0
46,1922.0
47,2121.0
48,2239.0
49,2357.0
50,2623.0
51,2989.0
52,3269.0
53,3465.0
54,3729.0
55,3977.0
56,4054.0
57,4030.0
58,4079.0
59,4139.0
60,4045.0
61,3900.0
62,3838.0
63,3698.0
64,3368.0
65,3009.0
66,2682.0
67,2197.0
68,1463.0
69,634.0
70,-173.0
71,-1075.0
72,-2138.0
73,-3228.0
74,-4312.0
75,-5569.0
76,-7038.0
77,-8177.0
78,-8202.0
79,-8202.0
80,-8202.0
81,-8202.0
82,-8202.0
83,-8202.0
84,-8202.0
85,-8202.0
86,-8202.0
87,-8202.0
88,-8202.0
89,-8202.0
90,-8202.0
91,-8202.0
92,-8202.0
93,-8202.0
94,-8202.0
95,-8202.0
96,-8202.0
97,-8148.0
98,-7848.0
99,-7529.0
100,-7223.0
101,-6932.0
102,-6652.0
103,-6384.0
104,-6127.0
105,-5882.0
106,-5645.0
107,-5420.0
108,-5203.0
109,-4996.0
110,-4796.0
111,-4607.0
112,-4423.0
113,-4199.0
114,-3454.0
115,-2611.0
116,-1739.0
117,-782.0
118,195.0
119,1124.0
120,2070.0
121,3081.0
122,4061.0
123,4942.0
124,5770.0
125,6572.0
126,7290.0
127,7898.0
128,8181.0
129,8181.0
130,8181.0
131,8181.0
132,8181.0
133,8181.0
134,8181.0
135,8181.0
136,8181.0
137,8181.0
138,8181.0
139,7999.0
140,7450.0
141,7051.0
142,6733.0
143,6510.0
144,6479.0
145,6628.0
146,6845.0
147,7169.0
148,7733.0
149,8181.0
150,8181.0
151,8181.0
152,8181.0
153,8181.0
154,8181.0
155,8181.0
156,8181.0
157,8181.0
158,8181.0
159,8181.0
160,8181.0
161,8181.0
162,7799.0
163,5858.0
164,3698.0
165,1373.0
166,-1141.0
167,-3633.0
168,-5900.0
169,-7847.0
170,-8202.0
171,-8202.0
172,-8202.0
173,-8202.0
174,-8202.0
175,-8202.0
176,-8202.0
177,-8202.0
178,-8202.0
