с,code
0,48
4.16667E-05,51
8.33333E-05,55
0.000125,63
0.000166667,79
0.000208333,93
0.00025,101
0.000291667,110
0.000333333,115
0.000375,122
0.000416667,132
0.000458333,142
0.0005,149
0.000541667,152
0.000583333,156
0.000625,144
0.000666667,118
0.000708333,91
0.00075,76
0.000791667,61
0.000833333,45
0.000875,34
0.000916667,33
0.000958333,35
0.001,31
0.00104167,24
0.00108333,22
0.001125,26
0.00116667,34
0.00120833,41
0.00125,57
0.00129167,87
0.00133333,123
0.001375,156
0.00141667,180
0.00145833,206
0.0015,238
0.00154167,269
0.00158333,313
0.001625,379
0.00166667,461
0.00170833,551
0.00175,633
0.00179167,706
0.00183333,769
0.001875,819
0.00191667,850
0.00195833,869
0.002,886
0.00204167,901
0.00208333,899
0.002125,893
0.00216667,895
0.00220833,903
0.00225,889
0.00229167,855
0.00233333,818
0.002375,782
0.00241667,724
0.00245833,661
0.0025,628
0.00254167,621
0.00258333,620
0.002625,631
0.00266667,667
0.00270833,707
0.00275,737
0.00279167,777
0.00283333,839
0.002875,903
0.00291667,971
0.00295833,1059
0.003,1161
0.00304167,1261
0.00308333,1370
0.003125,1488
0.00316667,1590
0.00320833,1662
0.00325,1725
0.00329167,1778
0.00333333,1813
0.003375,1821
0.00341667,1816
0.00345833,1789
0.0035,1731
0.00354167,1638
0.00358333,1509
0.003625,1352
0.00366667,1165
0.00370833,938
0.00375,685
0.00379167,418
0.00383333,153
0.003875,-110
0.00391667,-365
0.00395833,-601
0.004,-809
0.00404167,-987
0.00408333,-1142
0.004125,-1281
0.00416667,-1409
0.00420833,-1502
0.00425,-1546
0.00429167,-1557
0.00433333,-1537
0.004375,-1472
0.00441667,-1348
0.00445833,-1197
0.0045,-1050
0.00454167,-886
0.00458333,-708
0.004625,-561
0.00466667,-454
0.00470833,-367
0.00475,-293
0.00479167,-254
0.00483333,-257
0.004875,-275
0.00491667,-313
0.00495833,-392
0.005,-501
0.00504167,-630
0.00508333,-777
0.005125,-939
0.00516667,-1100
0.00520833,-1235
0.00525,-1338
0.00529167,-1400
0.00533333,-1408
0.005375,-1352
0.00541667,-1239
0.00545833,-1070
0.0055,-847
0.00554167,-581
0.00558333,-285
0.005625,47
0.00566667,413
0.00570833,793
0.00575,1180
0.00579167,1570
0.00583333,1953
0.005875,2322
0.00591667,2666
0.00595833,2986
0.006,3269
0.00604167,3504
0.00608333,3689
0.006125,3822
0.00616667,3911
0.00620833,3962
0.00625,3967
0.00629167,3941
0.00633333,3890
0.006375,3821
0.00641667,3739
0.00645833,3638
0.0065,3520
0.00654167,3394
0.00658333,3262
0.006625,3136
0.00666667,2997
0.00670833,2847
0.00675,2705
0.00679167,2566
0.00683333,2411
0.006875,2230
0.00691667,2045
0.00695833,1841
0.007,1596
0.00704167,1309
0.00708333,998
0.007125,661
0.00716667,277
0.00720833,-154
0.00725,-614
0.00729167,-1105
0.00733333,-1624
0.007375,-2161
0.00741667,-2705
0.00745833,-3257
0.0075,-3794
0.00754167,-4299
0.00758333,-4755
0.007625,-5164
0.00766667,-5522
0.00770833,-5808
0.00775,-6027
0.00779167,-6201
0.00783333,-6326
0.007875,-6390
0.00791667,-6419
0.00795833,-6425
0.008,-6403
0.00804167,-6346
0.00808333,-6284
0.008125,-6227
0.00816667,-6162
0.00820833,-6092
0.00825,-6055
0.00829167,-6057
0.00833333,-6074
0.008375,-6110
0.00841667,-6178
0.00845833,-6276
0.0085,-6389
0.00854167,-6516
0.00858333,-6657
0.008625,-6819
0.00866667,-6989
0.00870833,-7156
0.00875,-7311
0.00879167,-7447
0.00883333,-7554
0.008875,-7621
0.00891667,-7642
0.00895833,-7628
0.009,-7574
0.00904167,-7469
0.00908333,-7310
0.009125,-7101
0.00916667,-6857
0.00920833,-6579
0.00925,-6264
0.00929167,-5921
0.00933333,-5576
0.009375,-5235
0.00941667,-4889
0.00945833,-4548
0.0095,-4244
0.00954167,-3991
0.00958333,-3768
0.009625,-3564
0.00966667,-3391
0.00970833,-3262
0.00975,-3161
0.00979167,-3070
0.00983333,-2983
0.009875,-2903
0.00991667,-2812
0.00995833,-2695
0.01,-2550
0.0100417,-2371
0.0100833,-2134
0.010125,-1841
0.0101667,-1512
0.0102083,-1130
0.01025,-679
0.0102917,-188
0.0103333,315
0.010375,834
0.0104167,1375
0.0104583,1906
0.0105,2408
0.0105417,2902
0.0105833,3375
0.010625,3789
0.0106667,4141
0.0107083,4445
0.01075,4693
0.0107917,4870
0.0108333,4988
0.010875,5067
0.0109167,5103
0.0109583,5091
0.011,5049
0.0110417,4995
0.0110833,4934
0.011125,4864
0.0111667,4797
0.0112083,4736
0.01125,4682
0.0112917,4635
0.0113333,4594
0.011375,4553
0.0114167,4516
0.0114583,4482
0.0115,4447
0.0115417,4398
0.0115833,4331
0.011625,4246
0.0116667,4133
0.0117083,3989
0.01175,3815
0.0117917,3606
0.0118333,3365
0.011875,3089
0.0119167,2785
0.0119583,2450
0.012,2099
0.0120417,1748
0.0120833,1412
0.012125,1095
0.0121667,802
0.0122083,542
0.01225,328
0.0122917,156
0.0123333,19
0.012375,-74
0.0124167,-128
0.0124583,-134
0.0125,-109
0.0125417,-39
0.0125833,70
0.012625,200
0.0126667,311
0.0127083,420
0.01275,532
0.0127917,612
0.0128333,633
0.012875,618
0.0129167,589
0.0129583,526
0.013,411
0.0130417,277
0.0130833,138
0.013125,-22
0.0131667,-212
0.0132083,-404
0.01325,-587
0.0132917,-776
0.0133333,-955
0.013375,-1088
0.0134167,-1175
0.0134583,-1233
0.0135,-1265
0.0135417,-1251
0.0135833,-1199
0.013625,-1116
0.0136667,-1000
0.0137083,-852
0.01375,-684
0.0137917,-507
0.0138333,-315
0.013875,-113
0.0139167,86
0.0139583,271
0.014,455
0.0140417,615
0.0140833,747
0.014125,858
0.0141667,953
0.0142083,1027
0.01425,1075
0.0142917,1104
0.0143333,1131
0.014375,1160
0.0144167,1171
0.0144583,1163
0.0145,1167
0.0145417,1183
0.0145833,1203
0.014625,1229
0.0146667,1276
0.0147083,1341
0.01475,1415
0.0147917,1495
0.0148333,1598
0.014875,1711
0.0149167,1827
0.0149583,1940
0.015,2045
0.0150417,2142
0.0150833,2228
0.015125,2297
0.0151667,2326
0.0152083,2320
0.01525,2284
0.0152917,2227
0.0153333,2132
0.015375,2007
0.0154167,1870
0.0154583,1717
0.0155,1555
0.0155417,1385
0.0155833,1211
0.015625,1048
0.0156667,897
0.0157083,764
0.01575,662
0.0157917,589
0.0158333,541
0.015875,521
0.0159167,532
0.0159583,565
0.016,608
0.0160417,659
0.0160833,715
0.016125,765
0.0161667,797
0.0162083,814
0.01625,812
0.0162917,773
0.0163333,697
0.016375,588
0.0164167,455
0.0164583,283
0.0165,70
0.0165417,-161
0.0165833,-402
0.016625,-652
0.0166667,-898
0.0167083,-1119
0.01675,-1300
0.0167917,-1439
0.0168333,-1537
0.016875,-1579
0.0169167,-1560
0.0169583,-1485
0.017,-1367
0.0170417,-1214
0.0170833,-1027
0.017125,-816
0.0171667,-586
0.0172083,-349
0.01725,-109
0.0172917,135
0.0173333,377
0.017375,604
0.0174167,802
0.0174583,985
0.0175,1155
0.0175417,1301
0.0175833,1424
0.017625,1536
0.0176667,1644
0.0177083,1739
0.01775,1822
0.0177917,1892
0.0178333,1952
0.017875,1999
0.0179167,2044
0.0179583,2084
0.018,2118
0.0180417,2155
0.0180833,2193
0.018125,2230
0.0181667,2256
0.0182083,2275
0.01825,2286
0.0182917,2282
0.0183333,2252
0.018375,2198
