c,code
0,36
4.16667E-05,43
8.33333E-05,54
0.000125,59
0.000166667,55
0.000208333,54
0.00025,68
0.000291667,75
0.000333333,69
0.000375,69
0.000416667,74
0.000458333,73
0.0005,81
0.000541667,96
0.000583333,83
0.000625,38
0.000666667,18
0.000708333,39
0.00075,36
0.000791667,-14
0.000833333,-42
0.000875,-18
0.000916667,-8
0.000958333,-34
0.001,-53
0.00104167,-66
0.00108333,-109
0.001125,-172
0.00116667,-210
0.00120833,-225
0.00125,-255
0.00129167,-302
0.00133333,-316
0.001375,-298
0.00141667,-284
0.00145833,-283
0.0015,-280
0.00154167,-273
0.00158333,-275
0.001625,-272
0.00166667,-226
0.00170833,-167
0.00175,-115
0.00179167,-31
0.00183333,122
0.001875,319
0.00191667,507
0.00195833,677
0.002,859
0.00204167,1052
0.00208333,1235
0.002125,1412
0.00216667,1600
0.00220833,1810
0.00225,2030
0.00229167,2244
0.00233333,2440
0.002375,2639
0.00241667,2833
0.00245833,3011
0.0025,3163
0.00254167,3289
0.00258333,3428
0.002625,3603
0.00266667,3775
0.00270833,3919
0.00275,4076
0.00279167,4258
0.00283333,4400
0.002875,4493
0.00291667,4586
0.00295833,4680
0.003,4711
0.00304167,4655
0.00308333,4566
0.003125,4501
0.00316667,4414
0.00320833,4269
0.00325,4070
0.00329167,3851
0.00333333,3597
0.003375,3253
0.00341667,2823
0.00345833,2327
0.0035,1749
0.00354167,1070
0.00358333,305
0.003625,-510
0.00366667,-1384
0.00370833,-2341
0.00375,-3381
0.00379167,-4497
0.00383333,-5702
0.003875,-7024
0.00391667,-8143
0.00395833,-8203
0.004,-8203
0.00404167,-8203
0.00408333,-8203
0.004125,-8203
0.00416667,-8203
0.00420833,-8203
0.00425,-8203
0.00429167,-8203
0.00433333,-8203
0.004375,-8203
0.00441667,-8203
0.00445833,-8203
0.0045,-8203
0.00454167,-8203
0.00458333,-8203
0.004625,-8203
0.00466667,-8203
0.00470833,-8203
0.00475,-8194
0.00479167,-7935
0.00483333,-7614
0.004875,-7304
0.00491667,-7009
0.00495833,-6726
0.005,-6455
0.00504167,-6196
0.00508333,-5946
0.005125,-5707
0.00516667,-5479
0.00520833,-5207
0.00525,-4119
0.00529167,-2796
0.00533333,-1592
0.005375,-524
0.00541667,421
0.00545833,1251
0.0055,1978
0.00554167,2612
0.00558333,3162
0.005625,3636
0.00566667,4040
0.00570833,4379
0.00575,4665
0.00579167,4904
0.00583333,5093
0.005875,5248
0.00591667,5364
0.00595833,5834
0.006,6464
0.00604167,6895
0.00608333,7177
0.006125,7327
0.00616667,7346
0.00620833,7220
0.00625,6948
0.00629167,6564
0.00633333,6087
0.006375,5535
0.00641667,4925
0.00645833,4298
0.0065,3695
0.00654167,3202
0.00658333,3018
0.006625,3030
0.00666667,3069
0.00670833,3095
0.00675,3108
0.00679167,3112
0.00683333,3105
0.006875,3085
0.00691667,3059
0.00695833,3026
0.007,2988
0.00704167,2943
0.00708333,2893
0.007125,2840
0.00716667,2782
0.00720833,2772
0.00725,3324
0.00729167,3933
0.00733333,4443
0.007375,4852
0.00741667,5135
0.00745833,5295
0.0075,5332
0.00754167,5203
0.00758333,4855
0.007625,4313
0.00766667,3633
0.00770833,2820
0.00775,1884
0.00779167,900
0.00783333,-66
0.007875,-966
0.00791667,-1495
0.00795833,-1440
0.008,-1215
0.00804167,-1109
0.00808333,-899
0.008125,-708
0.00816667,-541
0.00820833,-391
0.00825,-259
0.00829167,-141
0.00833333,-36
0.008375,54
0.00841667,132
0.00845833,202
0.0085,257
0.00854167,309
0.00858333,352
0.008625,388
0.00866667,417
0.00870833,440
0.00875,460
0.00879167,473
0.00883333,481
0.008875,489
0.00891667,494
0.00895833,492
0.009,491
0.00904167,488
0.00908333,483
0.009125,475
0.00916667,465
0.00920833,456
0.00925,446
0.00929167,434
0.00933333,421
0.009375,408
0.00941667,395
0.00945833,380
0.0095,366
0.00954167,352
0.00958333,338
0.009625,324
0.00966667,310
0.00970833,294
0.00975,280
0.00979167,266
0.00983333,253
0.009875,237
0.00991667,227
0.00995833,212
0.01,198
0.0100417,187
0.0100833,175
0.010125,163
0.0101667,151
0.0102083,138
0.01025,128
0.0102917,118
0.0103333,106
0.010375,96
0.0104167,88
0.0104583,77
0.0105,68
0.0105417,59
0.0105833,50
0.010625,41
0.0106667,34
0.0107083,24
0.01075,19
0.0107917,9
0.0108333,3
0.010875,-5
0.0109167,-10
0.0109583,-17
0.011,-23
0.0110417,-29
0.0110833,-35
0.011125,-40
0.0111667,-46
0.0112083,-52
0.01125,-56
0.0112917,-59
0.0113333,-65
0.011375,-71
0.0114167,-74
0.0114583,-80
0.0115,-81
0.0115417,-85
0.0115833,-89
0.011625,-93
0.0116667,-96
0.0117083,190
0.01175,570
0.0117917,862
0.0118333,1099
0.011875,1284
0.0119167,1419
0.0119583,1511
0.012,1551
0.0120417,1514
0.0120833,1392
0.012125,1178
0.0121667,884
0.0122083,515
0.01225,78
0.0122917,-396
0.0123333,-870
0.012375,-1331
0.0124167,-1749
0.0124583,-2033
0.0125,-2015
0.0125417,-1850
0.0125833,-1672
0.012625,-1506
0.0126667,-1355
0.0127083,-1220
0.01275,-1096
0.0127917,-982
0.0128333,-882
0.012875,-791
0.0129167,-707
0.0129583,-632
0.013,-564
0.0130417,-505
0.0130833,-450
0.013125,-402
0.0131667,-358
0.0132083,-320
0.01325,-287
0.0132917,-255
0.0133333,-227
0.013375,-203
0.0134167,-184
0.0134583,-165
0.0135,-148
0.0135417,-134
0.0135833,-121
0.013625,-106
0.0136667,175
0.0137083,510
0.01375,795
0.0137917,1035
0.0138333,1239
0.013875,1431
0.0139167,1636
0.0139583,1829
0.014,1990
0.0140417,2129
0.0140833,2263
0.014125,2381
0.0141667,2484
0.0142083,2577
0.01425,2665
0.0142917,2720
0.0143333,2729
0.014375,2724
0.0144167,2696
0.0144583,2590
0.0145,2388
0.0145417,2119
0.0145833,1789
0.014625,1382
0.0146667,917
0.0147083,423
0.01475,-87
0.0147917,-612
0.0148333,-1123
0.014875,-1592
0.0149167,-2017
0.0149583,-2405
0.015,-2742
0.0150417,-3008
0.0150833,-3198
0.015125,-3306
0.0151667,-3346
0.0152083,-3322
0.01525,-3227
0.0152917,-3045
0.0153333,-2799
0.015375,-2517
0.0154167,-2196
0.0154583,-1844
0.0155,-1463
0.0155417,-1068
0.0155833,-660
0.015625,-239
0.0156667,210
0.0157083,680
0.01575,1164
0.0157917,1669
0.0158333,2198
0.015875,2740
0.0159167,3282
0.0159583,3851
0.016,4453
0.0160417,5080
0.0160833,5732
0.016125,6431
0.0161667,7166
0.0162083,7886
0.01625,8053
0.0162917,8053
0.0163333,8053
0.016375,8053
0.0164167,8053
0.0164583,8053
0.0165,8053
0.0165417,8053
0.0165833,8053
0.016625,8053
0.0166667,8053
0.0167083,8053
0.01675,8053
0.0167917,8053
0.0168333,8053
0.016875,8053
0.0169167,8053
0.0169583,8053
0.017,8053
0.0170417,8053
0.0170833,8053
0.017125,8053
0.0171667,8053
0.0172083,8053
0.01725,7591
0.0172917,6866
0.0173333,6116
0.017375,5325
0.0174167,4491
0.0174583,3639
0.0175,2783
0.0175417,1918
0.0175833,1059
0.017625,234
0.0176667,-549
0.0177083,-1301
0.01775,-1999
0.0177917,-2604
0.0178333,-3122
0.017875,-3580
0.0179167,-3974
0.0179583,-4268
0.018,-4450
0.0180417,-4529
0.0180833,-4513
0.018125,-4408
0.0181667,-4234
0.0182083,-4013
0.01825,-3747
0.0182917,-3438
0.0183333,-3102
0.018375,-2777
0.0184167,-2468
0.0184583,-2162
0.0185,-1910
0.0185417,-1775
0.0185833,-1764
0.018625,-1823
0.0186667,-1945
0.0187083,-2152
0.01875,-2416
0.0187917,-2709
0.0188333,-3036
0.018875,-3403
0.0189167,-3808
0.0189583,-4234
0.019,-4672
0.0190417,-5104
0.0190833,-5518
0.019125,-5908
0.0191667,-6282
0.0192083,-6621
0.01925,-6922
0.0192917,-7195
0.0193333,-7452
0.019375,-7707
0.0194167,-7949
0.0194583,-8178
0.0195,-8330
0.0195417,-8330
0.0195833,-8330
0.019625,-8330
0.0196667,-8330
0.0197083,-8330
0.01975,-8330
0.0197917,-8330
0.0198333,-8330
0.019875,-8330
0.0199167,-8330
0.0199583,-8330
0.02,-8330
0.0200417,-8330
0.0200833,-8330
0.020125,-8330
0.0201667,-8330
0.0202083,-8330
0.02025,-8330
0.0202917,-7762
0.0203333,-6777
0.020375,-5669
0.0204167,-4442
0.0204583,-3109
0.0205,-1720
0.0205417,-306
0.0205833,1117
0.020625,2511
0.0206667,3807
0.0207083,4978
0.02075,6042
0.0207917,6969
0.0208333,7719
0.020875,8053
0.0209167,8053
0.0209583,8053
